"LOGICIEL
,,R,,"OCS Inventory NG 
serveur",X,"Espace utilisateur 
& canal",2.1,,s.o.,GPL2,"Déploiement
Gestion d’actif et de
configuration",,"Inventaire, télédéploiement et 
découverte du réseau"
OCS,,R,X,Agent,X,"Espace utilisateur 
& canal",2.1,2.1,s.o.,GPL2,"Déploiement
Gestion d’actif et de
configuration",,"Inventaire, télédéploiement et 
découverte du réseau"
OCS,,O,X,Security,,"Espace utilisateur 
& canal",2.1,,s.o.,GPL2,"Déploiement
Gestion d’actif et de
configuration",,"Récupérer les informations de 
sécurité"
OCS,,O,X,CustomAppli/fr,,"Espace utilisateur 
& canal",2.1,,s.o.,GPL2,"Déploiement
Gestion d’actif et de
configuration",,"Récupérer les informations d'un 
logiciel spécifique dans un fichier 
texte"
OCS,,O,,MSOfficeKeys,,"Espace utilisateur 
& canal",2.1,,s.o.,GPL2,"Déploiement
Gestion d’actif et de
configuration",,Récupérer les licences Office
OCS,,O,,WinServices/fr,,"Espace utilisateur 
& canal",2.1,,s.o.,GPL2,"Déploiement
Gestion d’actif et de
configuration",,"Récupérer la liste des services et 
leur état"
,,R,,GLPI,X,"Espace utilisateur 
& canal",0.85,,s.o.,GPL2,"Déploiement
Gestion d’actif et de
configuration",,Gestion de parc et suivi d'incidents
GLPI,,R,,Reports (rapports),,"Espace utilisateur 
& canal",1.9,,s.o.,AGPL3,"Déploiement
Gestion d’actif et de
configuration",,"Rapports supplémentaires à ceux 
inclus dans GLPI"
GLPI,,R,,"PDF (impression de 
pdf)",,"Espace utilisateur 
& canal",0.86,,s.o.,AGPL3,"Déploiement
Gestion d’actif et de
configuration",,Export en pdf des fiches GLPI
GLPI,,R,,WebService,,"Espace utilisateur 
& canal",1.6,,s.o.,AGPL3,"Déploiement
Gestion d’actif et de
configuration",,"Serveur de services web 
permettant à une application 
externe d'interroger et de piloter 
GLPI."
GLPI,Gestion parc,R,,OCS Inventory ng,X,"Espace utilisateur 
& canal",1.1.2,,s.o.,GPL2+,"Déploiement
Gestion d’actif et de
configuration",,"Automatisation de l'import 
OCSInventory-NG"
GLPI,,O,,FusionInventory,,"Espace utilisateur 
& canal",0.85+1.3,,s.o.,AGPL3+,"Déploiement
Gestion d’actif et de
configuration",,"Inventaire, télédéploiement et 
découverte du réseau"
GLPI,Gestion parc,O,X,Mobile,,"Espace utilisateur 
& canal",1.1.5,,s.o.,GPL2+,"Déploiement
Gestion d’actif et de
configuration",,"Affichage de GLPI pour terminaux 
mobiles et tablettes"
GLPI,Gestion parc,R,,Item Uninstallation,X,"Espace utilisateur 
& canal",,,s.o.,GPL2+,"Déploiement
Gestion d’actif et de
configuration",,Déinstallation d’objets inventoriés
